vietnamese,italian,greek,spanish,british,russian,korean,mexican,thai,irish,indian,filipino,jamaican,moroccan,cajun_creole,japanese,brazilian,french,southern_us,chinese
337,6,0,1,2,0,4,4,128,0,4,25,0,0,1,26,4,5,27,69
0,4662,107,96,102,2,0,56,2,6,9,1,1,10,54,4,2,429,327,4
0,121,609,11,13,1,0,8,0,0,14,1,0,22,10,1,0,43,45,0
1,102,15,381,14,0,0,51,1,3,2,1,0,8,22,0,1,68,67,1
0,18,1,6,226,2,1,3,0,26,12,4,1,2,5,5,0,81,178,1
0,15,6,5,37,106,1,13,0,7,5,3,0,6,8,4,0,45,96,0
5,4,0,1,1,0,412,2,2,1,1,1,0,0,1,52,0,3,23,91
4,54,8,51,18,0,2,4267,7,4,36,11,6,10,34,8,17,31,265,9
53,3,1,0,1,0,3,10,897,0,38,14,0,1,1,22,3,0,27,91
0,16,5,5,27,1,0,8,0,209,5,3,0,7,4,1,1,51,159,1
1,11,23,5,19,4,0,20,25,4,1970,1,2,35,7,16,7,16,96,7
7,19,0,8,11,0,3,10,15,0,7,281,0,0,4,12,7,7,83,83
0,7,0,2,9,1,0,13,5,0,20,5,215,1,14,4,5,4,77,7
0,17,21,11,13,1,0,7,1,1,40,0,3,457,2,2,1,17,30,0
1,61,3,8,26,3,0,30,0,3,7,0,0,0,821,3,2,26,166,0
2,11,4,0,11,0,22,6,18,1,82,3,1,0,1,713,1,13,73,119
0,23,2,20,3,0,0,32,12,1,10,1,2,2,28,3,124,8,70,1
2,289,36,66,94,1,0,13,1,10,2,3,0,12,32,5,2,1109,306,2
0,118,10,43,38,3,1,99,3,6,26,13,7,2,282,2,7,62,2473,14
17,9,1,0,13,2,19,14,35,3,9,17,4,1,3,81,2,10,69,1712
